id,pts,trb,ass
1,25,6,9
2,21,12,8
3,8,4,6
4,7,11,7
5,23,5,3
6,17,8,9
7,17,5,4
8,18,3,7
9,10,5,3
10,22,5,8
11,14,7,8
12,28,7,8
13,19,9,2
14,15,6,4
15,15,8,9
16,6,2,7
17,33,16,7
18,19,6,5
19,4,6,8
20,8,6,5
21,18,5,3
22,23,3,9
23,37,3,4
24,27,4,6
25,17,1,3
26,36,4,5
27,32,6,10
28,22,6,2
29,34,2,6
30,18,3,4
31,32,10,9
32,22,10,4
33,14,4,9
34,14,4,10
35,21,2,5
36,19,3,6
37,16,5,7
38,27,9,9
39,29,6,6
40,29,7,2
41,16,5,3
42,27,5,4
43,20,8,3
44,38,6,4
45,12,4,6
46,32,4,4
47,14,9,5
48,14,0,6
49,24,6,3
50,9,2,5
51,16,4,9
52,32,11,2
53,22,5,3
54,21,4,6
55,11,7,5
56,30,11,3
57,18,3,3
58,24,7,3
59,19,6,4
60,24,7,10
61,34,6,7
62,14,3,4
63,26,3,4
64,17,5,8
65,14,0,7
66,15,7,3
67,25,2,6
68,16,3,7
69,41,6,13
70,18,2,4
71,28,5,6
72,20,7,7
73,34,8,10
74,21,6,4
75,14,3,5
76,24,7,8
77,10,3,11
78,27,7,9
79,17,1,5
80,28,5,8
81,21,6,8
82,31,8,6
83,25,10,4
84,38,10,6
85,24,9,4
86,33,12,4
87,19,6,9
88,25,8,2
89,13,9,10
90,43,6,5
91,20,6,8
92,26,7,7
93,22,7,5
94,15,3,6
95,17,8,9
96,27,6,10
97,27,2,8
98,19,2,6
99,23,6,10
100,31,5,8
101,25,11,7
102,11,9,7
103,31,5,4
104,26,6,12
105,23,9,9
106,22,9,14
107,40,9,7
108,3,3,5
109,26,8,6
110,20,6,9
111,22,3,4
112,29,8,9
113,28,13,9
114,27,8,5
115,35,5,11
116,27,11,10
117,18,8,6
118,28,12,10
119,31,10,8
120,27,9,15
121,28,5,7
122,31,2,10
123,30,6,9
124,15,8,11
125,35,6,6
126,25,8,9
127,28,5,6
128,26,7,8
129,27,6,11
130,21,7,5
131,28,4,7
132,20,8,7
133,32,5,5
134,34,7,7
135,23,4,5
136,23,7,8
137,35,5,5
138,36,9,2
139,34,7,6
140,16,8,8
141,56,10,5
142,29,6,6
143,19,4,8
144,19,4,6
145,44,6,3
146,22,7,5
147,26,6,7
148,35,8,9
149,37,10,7
150,24,9,4
151,20,4,3
152,37,13,7
153,40,10,10
154,33,7,6
155,27,18,7
156,38,6,6
157,37,11,6
158,32,8,6
159,27,14,14
160,31,3,4
161,20,6,4
162,36,2,6
163,27,3,6
164,31,5,1
165,16,6,2
166,26,5,3
167,37,10,4
168,16,6,4
169,36,11,10
170,36,5,4
171,19,10,4
172,38,5,2
173,28,7,9
174,34,3,8
175,30,5,6
176,30,6,6
177,32,6,3
178,52,7,7
179,39,10,6
180,26,4,9
181,41,5,10
182,25,6,4
183,37,5,6
184,14,8,9
185,32,8,6
186,31,10,8
187,30,7,7
188,32,11,11
189,32,9,5
190,35,7,6
191,36,7,7
192,28,2,9
193,46,7,8
194,29,13,7
195,24,11,9
196,14,9,6
197,51,5,8
198,23,7,8
199,38,9,6
200,30,7,9
201,44,11,7
202,30,6,6
203,26,11,10
204,29,5,7
205,31,4,6
206,22,9,12
207,35,11,8
208,18,9,8
209,33,5,6
210,44,3,5
211,43,12,11
212,26,2,9
213,33,6,5
214,25,7,9
215,22,9,7
216,26,4,6
217,19,7,12
218,33,11,8
219,37,9,7
220,17,12,8
221,35,6,6
222,25,7,2
223,47,7,4
224,36,12,5
225,27,9,5
226,29,8,7
227,37,11,12
228,36,7,8
229,36,6,5
230,46,5,4
231,47,12,9
232,35,12,8
233,37,4,7
234,36,2,7
235,37,5,7
236,32,4,6
237,22,3,1
238,17,5,4
239,26,10,5
240,35,10,4
241,16,9,7
242,34,7,6
243,19,4,12
244,38,8,5
245,29,4,6
246,32,7,7
247,37,9,6
248,20,5,4
249,15,1,9
250,30,10,8
251,30,7,5
252,25,4,11
253,27,7,6
254,31,7,8
255,21,5,4
256,26,6,10
257,27,7,6
258,15,7,6
259,22,8,7
260,22,9,7
261,29,5,5
262,37,1,8
263,26,10,5
264,32,7,1
265,27,9,3
266,32,4,5
267,33,9,3
268,19,5,5
269,32,6,4
270,8,5,9
271,19,13,4
272,34,4,7
273,34,6,6
274,28,6,6
275,30,7,8
276,23,6,2
277,30,10,10
278,32,7,5
279,18,4,5
280,39,10,5
281,30,9,5
282,17,6,9
283,18,10,3
284,21,5,6
285,11,7,3
286,29,7,6
287,18,8,5
288,23,10,4
289,38,4,3
290,29,4,2
291,29,7,2
292,29,3,7
293,35,5,8
294,39,3,5
295,36,5,6
296,32,12,8
297,41,7,8
298,32,8,9
299,26,7,6
300,29,6,4
301,24,17,9
302,37,6,6
303,31,6,4
304,21,3,10
305,18,3,8
306,26,7,6
307,24,6,7
308,39,5,9
309,31,12,6
310,35,9,5
311,25,6,5
312,20,5,6
313,35,8,4
314,23,5,6
315,18,5,6
